_municipio_norm,_local_norm,municipio,local_votacao,qtd_registros_afetados
RIO LARGO,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,RIO LARGO,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,132
CORURIPE,CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRAO DE CASTRO SIQUEIRA,CORURIPE,CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRÃO DE CASTRO SIQUEIRA,131
MACEIO,ESCOLA MUNICIPAL DOM MIGUEL FENELON CAMARA,MACEIO,ESCOLA MUN. DOM MIGUEL FENELON CÂMARA,130
MACEIO,ESCOLA MUNICIPAL PROFESSOR DERALDO CAMPOS,MACEIO,ESCOLA MUN. PROF. DERALDO CAMPOS,129
CORURIPE,ESCOLA MUNICIPAL MANOEL CECILIO DE JESUS,CORURIPE,ESCOLA MUNICIPAL MANOEL CECÍLIO DE JESUS,128
ARAPIRACA,GRUPO ESCOLAR CONEGO EPITACIO RODRIGUES,ARAPIRACA,GRUPO ESCOLAR CÔNEGO EPITÁCIO RODRIGUES,127
MARECHAL DEODORO,ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA,MARECHAL DEODORO,ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA,126
MACEIO,INSS,MACEIO,INSS,125
ARAPIRACA,IFAL INSTITUTO FEDERAL DE ALAGOAS,ARAPIRACA,IFAL - INSTITUTO FEDERAL DE ALAGOAS,125
RIO LARGO,ESCOLA DE EDUCACAO INFANTIL PADRE PAULINO,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,125
MACEIO,ESCOLA ESTADUAL PROF ANA COELHO PALMEIRA,MACEIO,ESC. EST. PROFª ANA COELHO PALMEIRA,124
PENEDO,ESCOLA ESTADUAL DOUTOR ALCIDES ANDRADE,PENEDO,ESCOLA ESTADUAL DR. ALCIDES ANDRADE,122
PENEDO,EMEB VEREADOR JOSE DA COSTA MANGABEIRA,PENEDO,EMEB VEREADOR JOSÉ DA COSTA MANGABEIRA,122
RIO LARGO,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,RIO LARGO,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,122
RIO LARGO,ESCOLA DE EDUCACAO INFANTIL AQUINO JAPIASSU,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL AQUINO JAPIASSÚ,120
MACEIO,CMEI HERBERT DE SOUZA,MACEIO,CMEI HERBERT DE SOUZA,115
ARAPIRACA,CENTRO DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE,ARAPIRACA,CENTRO DE EDUCAÇÃO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE,115
SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO,SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO,115
DELMIRO GOUVEIA,FRANCISCA ROSA DA COSTA GRUPO ESCOLAR,DELMIRO GOUVEIA,"FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR",113
MACEIO,ESCOLA ESTADUAL AQUILINA BULHOES BARROS,MACEIO,E.E. AQUILINA BULHÕES BARROS,111
SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA,SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA,110
UNIAO DOS PALMARES,CRECHE MUNICIPAL TIA SUZETE,UNIAO DOS PALMARES,CRECHE MUNICIPAL TIA SUZETE,108
MARECHAL DEODORO,NEI ADELIA CAVALCANTE COSTA,MARECHAL DEODORO,NEI ADÉLIA CAVALCANTE COSTA,106
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL GUIMARÃES PASSOS,106
